Issue Key,Summary,Description,Epic,Owner Role,Priority,Status,Start Day,End Day,Depends On,Acceptance Criteria
GC-201,Baseline current web join/token reliability,"Capture baseline for token prejoin success, status-0 CORS incidence, paid/unpaid join outcomes in staging and local.",sprint-1-web-join-stability,QA Engineer,Highest,To Do,Day 1,Day 1,,Baseline report attached with reproducible failure steps and metrics.
GC-202,Freeze dependency versions for release candidate,"Lock Flutter/Web/Agora dependency versions for two-week stabilization window.",sprint-1-web-join-stability,EM/Tech Lead,High,To Do,Day 1,Day 1,GC-201,Version freeze committed and documented in run report.
GC-203,Normalize web API host resolution,"Implement deterministic API host resolution for web builds across environments.",sprint-1-web-join-stability,Web/API Engineer,Highest,To Do,Day 2,Day 2,GC-202,Web requests resolve to expected host in local and staging without manual override.
GC-204,Harden CORS policy for group-class and token endpoints,"Review and fix CORS headers/origins/methods for join and group-class APIs.",sprint-1-web-join-stability,Web/API Engineer,Highest,To Do,Day 2,Day 2,GC-203,No status-0 CORS failure in repeated prejoin tests.
GC-205,Add explicit token prejoin diagnostics,"Return structured error reasons for prejoin failures (authz, enrollment, policy, network).",sprint-1-web-join-stability,Web/API Engineer,High,To Do,Day 2,Day 3,GC-204,Client logs and API responses expose machine-readable failure reasons.
GC-206,Run paid vs unpaid prejoin reliability pass (3/3),"Execute repeated token prejoin tests for paid and unpaid roles and record outcomes.",sprint-1-web-join-stability,QA Engineer,Highest,To Do,Day 3,Day 3,"GC-204;GC-205","Paid path succeeds 3/3; unpaid path blocked 3/3 with correct UX."
GC-207,Add regression tests for join authorization parity,"Extend tests to guarantee parity between enrollment/payment state and join authorization.",sprint-1-web-join-stability,Web/API Engineer,High,To Do,Day 3,Day 3,GC-206,Automated tests fail on authz parity regressions and pass on current build.
GC-208,Implement flyer fallback hierarchy on all listing surfaces,"Ensure flyer->tutor avatar->placeholder fallback is applied consistently in tutor/learner list and detail surfaces.",sprint-2-flyer-upload-fallback,Frontend App Engineer,High,To Do,Day 4,Day 4,,No crashes and consistent image behavior across all screens.
GC-209,Handle invalid image URL and null states safely,"Add robust URL validation/error builders and graceful fallback transitions.",sprint-2-flyer-upload-fallback,Frontend App Engineer,High,To Do,Day 4,Day 4,GC-208,Invalid/expired URLs do not break layout or trigger runtime errors.
GC-210,Add/refresh app tests for flyer fallback parity,"Update tests to assert fallback behavior for flyer, avatar, and placeholder cases.",sprint-2-flyer-upload-fallback,Frontend App Engineer,High,To Do,Day 5,Day 5,"GC-208;GC-209",Relevant test suite passes and verifies all fallback states.
GC-211,Perform UX review pass for affected screens,"Product/design validation for create/discovery/tutor surfaces after fallback updates.",sprint-2-flyer-upload-fallback,Product/Design,Medium,To Do,Day 5,Day 5,GC-210,Product signoff captured and any polish issues triaged.
GC-212,Execute UAT matrix lane 1 (1:1),"Run create->enroll->pay->join and capture evidence for 1:1 capacity lane.",group-19-uat-matrix,QA Engineer,Highest,To Do,Day 6,Day 6,"GC-206;GC-210",Full evidence pack attached and lane marked pass/fail with notes.
GC-213,Execute UAT matrix lane 2 (1:3),"Run create->enroll->pay->join and capture evidence for 1:3 capacity lane.",group-19-uat-matrix,QA Engineer,Highest,To Do,Day 6,Day 6,GC-212,Full evidence pack attached and lane marked pass/fail with notes.
GC-214,Execute UAT matrix lane 3 (1:5),"Run create->enroll->pay->join and capture evidence for 1:5 capacity lane.",group-19-uat-matrix,QA Engineer,Highest,To Do,Day 7,Day 7,GC-213,Full evidence pack attached and lane marked pass/fail with notes.
GC-215,Fix and rerun critical defects from UAT,"Resolve blockers from UAT lanes and rerun impacted scenarios.",group-19-uat-matrix,Engineer + QA,Highest,To Do,Day 7,Day 7,GC-214,All critical defects closed or risk-accepted with EM approval.
GC-216,Verify observability for QoE and join outcomes,"Validate telemetry for join success, first frame, reconnect, and failure reasons.",sprint-1-web-join-stability,Data/Observability Engineer,High,To Do,Day 8,Day 8,"GC-206;GC-215",Dashboard/query shows baseline + current metrics by role and platform.
GC-217,Patch missing telemetry fields,"Implement any missing events or dimensions required by KPI set.",sprint-1-web-join-stability,Web/API Engineer,High,To Do,Day 8,Day 8,GC-216,Telemetry completeness confirmed for release KPI checklist.
GC-218,Prepare staged rollout feature-flag plan,"Define ramp percentages, guardrails, and rollback conditions.",group-20-release-rollout,Release Manager,Highest,To Do,Day 9,Day 9,"GC-215;GC-217",Rollout plan approved by EM and QA.
GC-219,Run rollback rehearsal,"Perform and time rollback drill with incident communication template.",group-20-release-rollout,Release Manager + DevOps,Highest,To Do,Day 9,Day 9,GC-218,Rollback succeeds within target time and runbook is validated.
GC-220,Final release gate review and signoff,"Review evidence, open risks, and make ship/hold decision.",group-20-release-rollout,EM + QA + Product,Highest,To Do,Day 10,Day 10,"GC-218;GC-219",Three-way signoff recorded and release decision documented.
