"Issue Type","Summary","Description","Parent","Labels","Story Points"
"Epic","Classroom Session Architecture Stabilization","Stabilize live classroom core architecture by introducing RTC adapter boundary, orchestrator state machine, and participant registry for multi-user sessions.","","classroom,architecture,flutter,agora","8"
"Epic","Network Resilience and Adaptive Media Quality","Implement policy-driven quality adaptation, dual-stream prioritization, and reconnect grace behavior for weak/unstable networks.","","classroom,network,agora,qoe","8"
"Epic","Classroom UX and Teaching Experience","Deliver tutor-first classroom UX with stable state messaging, layout manager, and reliable screenshare behavior.","","classroom,ux,teaching,flutter","8"
"Epic","Data Authorization and API Enablement","Enable classroom participant authorization and enrollment pipeline using Supabase and Next.js token APIs.","","classroom,supabase,nextjs,auth","5"
"Epic","QoE Observability and Operational Readiness","Add telemetry, QA reliability suite, and release quality gates for classroom production readiness.","","classroom,observability,qa,ops","5"
"Story","Introduce RTC Adapter Boundary","Create Agora adapter layer to isolate SDK operations and emit normalized RTC events for orchestrator consumption.","Classroom Session Architecture Stabilization","classroom,architecture,agora,flutter","5"
"Task","Move join/leave/publish/subscribe into agora_adapter.dart","All media operations used by session flow must be called via adapter API, not directly from screens/widgets.","Introduce RTC Adapter Boundary","classroom,agora,refactor","3"
"Task","Normalize Agora callbacks into typed RtcEvent stream","Join/leave/audio/video/speaking callbacks are emitted as typed events and covered by unit tests.","Introduce RTC Adapter Boundary","classroom,agora,events","2"
"Story","Add Classroom Orchestrator State Machine","Implement deterministic lifecycle transitions and route RTC events through reducer logic.","Classroom Session Architecture Stabilization","classroom,orchestrator,state-machine","5"
"Task","Implement ClassroomState lifecycle","Support joining, connected, degraded, reconnecting, resumed, ended, failed with deterministic transitions.","Add Classroom Orchestrator State Machine","classroom,state","3"
"Task","Wire reducer from RtcEvent to ClassroomState","UI no longer mutates session state directly from raw callbacks.","Add Classroom Orchestrator State Machine","classroom,flutter,refactor","2"
"Story","Adopt Participant Registry for Multi-User","Replace single remote UID assumptions with participant map model.","Classroom Session Architecture Stabilization","classroom,participants,flutter","5"
"Task","Create ParticipantState and map-based store","No critical session rendering path depends on a single remote UID.","Adopt Participant Registry for Multi-User","classroom,participants,model","3"
"Task","Add participant add/update/remove and grace tests","Tests cover join, leave, reconnect grace, and state consistency edge cases.","Adopt Participant Registry for Multi-User","classroom,tests,qa","2"
"Story","Implement Quality Policy Engine","Build quality tiers with hysteresis and metric-driven policy decisions.","Network Resilience and Adaptive Media Quality","classroom,network,qoe,policy","5"
"Task","Create quality_controller.dart with tiering and hysteresis","Tier transitions require sustained evidence; no rapid oscillation under noisy metrics.","Implement Quality Policy Engine","classroom,network,flutter","3"
"Task","Integrate packet loss/RTT/bitrate/freeze metric feed","Controller receives periodic metrics and emits quality transition events.","Implement Quality Policy Engine","classroom,metrics,agora","2"
"Story","Enable Dual Stream and Spotlight Switching","Use high/low stream selection by participant priority to reduce stutter and bandwidth pressure.","Network Resilience and Adaptive Media Quality","classroom,agora,dual-stream","5"
"Task","Enable dual stream and tier-specific encoder profiles","Dual stream mode verified in logs; profiles applied by quality tier.","Enable Dual Stream and Spotlight Switching","classroom,agora,video","3"
"Task","Implement spotlight policy for stream selection","Tutor or spotlight participant uses high stream; non-focus participants use low stream.","Enable Dual Stream and Spotlight Switching","classroom,spotlight,video","2"
"Story","Add Reconnection Grace and UX Escalation","Avoid abrupt tile removal and provide progressive reconnect UX messaging.","Network Resilience and Adaptive Media Quality","classroom,reconnect,ux","5"
