"Epic","Story","Task","Acceptance Criteria","Estimate","Owner"
"E1 Classroom Session Architecture Stabilization","S1.1 Introduce RTC Adapter Boundary","Create Agora adapter and move join/leave/publish/subscribe into adapter","All Agora SDK calls used by session flow are only invoked through adapter; existing 1:1 join still passes smoke test","3d","RTC Engineer"
"E1 Classroom Session Architecture Stabilization","S1.1 Introduce RTC Adapter Boundary","Normalize Agora callbacks into typed RtcEvent stream","User join/leave/video/audio/speaking callbacks are emitted as typed events and consumed by orchestrator tests","2d","RTC Engineer"
"E1 Classroom Session Architecture Stabilization","S1.2 Add Classroom Orchestrator","Implement ClassroomState and lifecycle state machine","Lifecycle transitions joining->connected->degraded->reconnecting->resumed->ended are deterministic and unit-tested","3d","Flutter Engineer"
"E1 Classroom Session Architecture Stabilization","S1.2 Add Classroom Orchestrator","Route all RTC events through orchestrator reducer","UI no longer mutates session state directly from raw callbacks; reducer handles all event transitions","2d","Flutter Engineer"
"E1 Classroom Session Architecture Stabilization","S1.3 Participant Registry","Replace single remote UID model with Map<int, ParticipantState>","No core classroom view logic depends on a single remote UID; participants map updates correctly on joins/leaves","3d","Flutter Engineer"
"E1 Classroom Session Architecture Stabilization","S1.3 Participant Registry","Add participant-state unit tests","Tests cover add/update/remove, reconnect grace, and state synchronization edge cases","1.5d","QA Automation"
"E2 Network Resilience and Adaptive Media Quality","S2.1 Quality Policy Engine","Implement quality tiers and hysteresis policy","Tier changes occur only after sustained signals; no oscillation in synthetic noisy metrics test","3d","RTC Engineer"
"E2 Network Resilience and Adaptive Media Quality","S2.1 Quality Policy Engine","Integrate metrics feed (loss/rtt/bitrate/freeze) into quality controller","Controller receives periodic network metrics and emits tier-change events consumed by orchestrator","2d","RTC Engineer"
"E2 Network Resilience and Adaptive Media Quality","S2.2 Dual Stream and Spotlight","Enable dual stream and configure encoder profiles by tier","Dual stream mode active; high/low profile settings applied and verified in logs per tier","2d","RTC Engineer"
"E2 Network Resilience and Adaptive Media Quality","S2.2 Dual Stream and Spotlight","Implement spotlight stream switching policy","Tutor/spotlight participant gets high stream; non-spotlight participants use low stream with stable switching","2d","Flutter Engineer"
"E2 Network Resilience and Adaptive Media Quality","S2.3 Reconnection Grace Policy","Implement participant reconnect grace timer and tile retention","Participant tile is not removed immediately on disconnect; reconnecting overlay shown within grace window","2d","Flutter Engineer"
"E2 Network Resilience and Adaptive Media Quality","S2.3 Reconnection Grace Policy","Escalate reconnect messaging by elapsed duration","0-3s silent retry, 3-10s reconnecting banner, >10s extended warning; UX validated in QA scripts","1.5d","UX Engineer"
"E3 Classroom UX and Teaching Experience","S3.1 Stable Session State UX","Add explicit banners/chips for joining/degraded/reconnecting/resumed/ended","Users always see accurate session state; no conflicting status banners during transitions","2d","Flutter Engineer"
"E3 Classroom UX and Teaching Experience","S3.1 Stable Session State UX","Apply minimum display durations to reduce flicker","Banner/throbber flicker is eliminated in packet-loss simulation test runs","1d","Flutter Engineer"
"E3 Classroom UX and Teaching Experience","S3.2 Classroom Layout System","Build tutor-first spotlight + participant grid layout manager","Layout remains stable as participants join/leave; spotlight pin works on mobile and tablet","4d","Flutter Engineer"
"E3 Classroom UX and Teaching Experience","S3.2 Classroom Layout System","Stabilize local preview and PiP behavior during layout changes","Local preview and PiP do not disappear or jump on orientation/layout changes","2d","Flutter Engineer"
"E3 Classroom UX and Teaching Experience","S3.3 Screenshare Reliability Upgrade","Model screenshare ownership in orchestrator and UI","Only one active share owner at a time; share start/stop is reflected consistently for all participants","2d","RTC Engineer"
"E3 Classroom UX and Teaching Experience","S3.3 Screenshare Reliability Upgrade","Add screenshare degradation fallback handling","When share quality degrades, users get clear fallback state and normal camera stage recovery","2d","Flutter Engineer"
"E4 Data, Authorization, and APIs","S4.1 Participant Authorization Completion","Apply and verify session_participants migration across environments","Migration exists and is applied in local/staging/prod; verification script passes","1d","Backend Engineer"
"E4 Data, Authorization, and APIs","S4.1 Participant Authorization Completion","Expand token API authorization matrix with session_participants membership","Token endpoint allows legacy and session_participants members; unauthorized users receive 403","2d","Backend Engineer"
"E4 Data, Authorization, and APIs","S4.2 Enrollment Pipeline","Create enrollment writer for multi-learner booking flows","Multi-learner bookings create participant rows with user_id and role automatically","3d","Backend Engineer"
"E4 Data, Authorization, and APIs","S4.2 Enrollment Pipeline","Add idempotency and backfill for existing sessions","Duplicate participant writes are prevented; backfill script updates historical eligible sessions safely","2d","Backend Engineer"
"E5 QoE Observability and Operational Readiness","S5.1 Session QoE Telemetry","Create session_qoe_events schema and storage contracts","QoE table deployed with indexes and retention policy; event writes validated in staging","1.5d","Data Engineer"
"E5 QoE Observability and Operational Readiness","S5.1 Session QoE Telemetry","Emit QoE events from orchestrator","Tier changes, reconnect outcomes, stream switches, and freeze windows are persisted per session","2d","Flutter Engineer"
"E5 QoE Observability and Operational Readiness","S5.2 QA Reliability Suite","Create classroom reliability test matrix and scripts","Suite includes 1:1, 1:3, 1:5, and degraded-network scenarios with pass/fail thresholds","2d","QA Lead"
"E5 QoE Observability and Operational Readiness","S5.2 QA Reliability Suite","Define release quality gates and triage workflow","Release blocked if reconnect/freeze thresholds fail; triage doc and ownership path published","1d","QA Lead"
